web-scraper-order,web-scraper-start-url,link,link-href,name,runtime,releaseDate,coverImg,description,genre
"1753771422-12","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","Avengers: Endgame","https://www.imdb.com/title/tt4154796/?ref_=chtmvm_t_89","Avengers: Endgame","3h 1m","2019","https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_QL75_UX190_CR0,0,190,281_.jpg","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","[{""genre"":""Space Sci-Fi""},{""genre"":""Superhero""},{""genre"":""Time Travel""},{""genre"":""Tragedy""},{""genre"":""Action""},{""genre"":""Adventure""},{""genre"":""Sci-Fi""}]"
"1753771425-13","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","Nonnas","https://www.imdb.com/title/tt28309594/?ref_=chtmvm_t_88","Nonnas","1h 51m","2025","https://m.media-amazon.com/images/M/MV5BODM0M2M4YWQtMzhlNy00NjdkLWFkODktOGNlNTc4OTFiZjZmXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg","After losing his beloved mother, a man risks everything to honor her by opening an Italian restaurant with actual grandmothers as the chefs.","[{""genre"":""Comedy""}]"
"1753771429-14","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","The Gorge","https://www.imdb.com/title/tt13654226/?ref_=chtmvm_t_87","The Gorge","2h 7m","2025","https://m.media-amazon.com/images/M/MV5BOTQ5Y2QyYTktYmFmZi00NWJlLWE0MzgtYTA4M2I0ZjQwZjcxXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg","Two operatives are appointed to posts in guard towers on opposite sides of a classified gorge.","[{""genre"":""Dark Romance""},{""genre"":""Monster Horror""},{""genre"":""Survival""},{""genre"":""Action""},{""genre"":""Adventure""},{""genre"":""Horror""},{""genre"":""Romance""},{""genre"":""Sci-Fi""}]"
"1753771432-15","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","Predator: Killer of Killers","https://www.imdb.com/title/tt36463894/?ref_=chtmvm_t_86","Predator: Killer of Killers","1h 25m","2025","https://m.media-amazon.com/images/M/MV5BNjM2MjA4YzQtYjBkNS00YmU3LTllOTgtMDQzMjkzM2Q4MmM5XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg","Three of the fiercest warriors in human history become prey to the ultimate killer of killers.","[{""genre"":""Adult Animation""},{""genre"":""Action""},{""genre"":""Adventure""},{""genre"":""Animation""},{""genre"":""Sci-Fi""},{""genre"":""Thriller""}]"
"1753771436-16","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","Jurassic Park","https://www.imdb.com/title/tt0107290/?ref_=chtmvm_t_85","Jurassic Park","2h 7m","1993","https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_QL75_UX190_CR0,2,190,281_.jpg","An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger.","[{""genre"":""Dinosaur Adventure""},{""genre"":""Jungle Adventure""},{""genre"":""Action""},{""genre"":""Adventure""},{""genre"":""Sci-Fi""},{""genre"":""Thriller""}]"
"1753771439-17","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","The Naked Gun: From the Files of Police Squad!","https://www.imdb.com/title/tt0095705/?ref_=chtmvm_t_84","The Naked Gun: From the Files of Police Squad!","1h 25m","1988","https://m.media-amazon.com/images/M/MV5BZTI5N2I1MjAtNTc0Yy00ZDIyLThkZTctMGQ5NTBhNjIwMWQ0XkEyXkFqcGc@._V1_QL75_UX190_CR0,9,190,281_.jpg","Incompetent police Detective Frank Drebin must foil an attempt to assassinate Queen Elizabeth II.","[{""genre"":""Bumbling Detective""},{""genre"":""Parody""},{""genre"":""Satire""},{""genre"":""Screwball Comedy""},{""genre"":""Slapstick""},{""genre"":""Comedy""},{""genre"":""Crime""}]"
"1753771447-19","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","Inception","https://www.imdb.com/title/tt1375666/?ref_=chtmvm_t_82","Inception","2h 28m","2010","https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_QL75_UX190_CR0,0,190,281_.jpg","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","[{""genre"":""Action Epic""},{""genre"":""Adventure Epic""},{""genre"":""Epic""},{""genre"":""Psychological Thriller""},{""genre"":""Sci-Fi Epic""},{""genre"":""Action""},{""genre"":""Adventure""},{""genre"":""Sci-Fi""},{""genre"":""Thriller""}]"
"1753771450-20","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","The Life of Chuck","https://www.imdb.com/title/tt12908150/?ref_=chtmvm_t_81","The Life of Chuck","1h 51m","2024","https://m.media-amazon.com/images/M/MV5BZDhlMzJhMTgtN2FhZS00OWQ1LTk3Y2ItZGNiNTQ0ZmUzYmIzXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg","A life-affirming, genre-bending story about three chapters in the life of an ordinary man named Charles Krantz.","[{""genre"":""Drama""},{""genre"":""Fantasy""},{""genre"":""Sci-Fi""}]"
"1753771454-21","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","Gladiator II","https://www.imdb.com/title/tt9218128/?ref_=chtmvm_t_80","Gladiator II","2h 28m","2024","https://m.media-amazon.com/images/M/MV5BMWYzZTM5ZGQtOGE5My00NmM2LWFlMDEtMGNjYjdmOWM1MzA1XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg","After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people.","[{""genre"":""Action Epic""},{""genre"":""Adventure Epic""},{""genre"":""Epic""},{""genre"":""Period Drama""},{""genre"":""Sword & Sandal""},{""genre"":""Action""},{""genre"":""Adventure""},{""genre"":""Drama""}]"
"1753771457-22","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","The Assessment","https://www.imdb.com/title/tt32768323/?ref_=chtmvm_t_79","The Assessment","1h 54m","2024","https://m.media-amazon.com/images/M/MV5BNjVmZTNhZGUtZTdjMi00OTA3LWFhYzYtZmIyOWYzMjA3M2ExXkEyXkFqcGc@._V1_QL75_UY281_CR18,0,190,281_.jpg","In the near future where parenthood is strictly controlled, a couple's seven-day assessment for the right to have a child unravels into a psychological nightmare.","[{""genre"":""Dystopian Sci-Fi""},{""genre"":""Psychological Drama""},{""genre"":""Drama""},{""genre"":""Sci-Fi""}]"
